Star Name,Distance,Mass,Radius,Gravity
Sun,0.000015813,1.989e+30,695700000.0,274.2691614595739
Sirius,0008.6,4.1769e+30,1189647000.0,196.971799550325
Canopus,0310,2.9835e+31,49394700000.0,0.8161153386021839
Alpha Centauri,0004.4,2.1879e+30,834840000.0,209.51116500384123
Arcturus,0037,2.1879e+30,18088200000.0,0.4462959727892475
Vega,0025,4.3758e+30,1878390000.0000002,82.76984296448046
Capella,0043,5.1714e+30,8348400000.0,4.952082081908975
Rigel,0860,4.574699999999999e+31,54890730000.00001,1.01332978543217
Procyon,0011.4,2.9835e+30,1321830000.0,113.9622554541166
Betelgeuse,0640[1],3.978e+31,660915000000.0,0.0060779869575528
Achernar,0144,1.33263e+31,6470010000.000001,21.2464259657665
Hadar,0390,2.08845e+31,5983020000.0,38.937617567949246
Altair,0017,3.5802e+30,1252260000.0,152.37175636642996
Acrux,0320,3.5801999999999996e+31,6191730000.0,62.32603088337749
Aldebaran,0065,2.9835e+30,30610800000.0,0.21250193294905
Antares,0600,2.3868e+31,473076000000.0,0.007117711802584
Spica,0260,2.2734269999999998e+31,5196879000.0,56.18003500809
Pollux,0034,3.7790999999999997e+30,6122160000.000001,6.729227876719916
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,160.8368539423427
Deneb,"2,600",3.7791e+31,141227100000.0,0.126455727334609
Mimosa,0350,3.1824e+31,5843880000.0,62.19255361895101
Regulus,0077,7.558199999999999e+30,2156670000.0,108.45190567600218
Adhara,0430,2.48625e+31,9739800000.0,17.491655705329972
Shaula,0700,2.88405e+31,6122160000.000001,51.354633796020416
Castor,0052,5.5692e+30,1669680000.0,133.3252868206262
Gacrux,0088,2.9835e+30,58438800000.0,0.0583055190177665
Bellatrix,0240,1.7105399999999998e+31,4035060000.0,70.11637302474244
Elnath,0130,9.945e+30,2921940000.0,77.74069202368877
Miaplacidus,0110,6.9615e+30,4730760000.0,20.75999275753696
Alnilam,"2,000",6.3648e+31,29219400000.0,4.975404289516081
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,68.56729036489348
Alnair,0101,7.956e+30,2365380000.0,94.90282403445464
Alioth,0081,5.7681e+30,2921940000.0,45.08960137373948
Alnitak,01050,6.5637e+31,13914000000.0,22.62720582041485
Dubhe,0120,8.453249999999999e+30,20871000000.0,1.2951599291146547
Mirfak,0590,1.6906499999999999e+31,47307600000.0,0.5041712526830403
Wezen,"1,600",3.3812999999999997e+31,139140000000.0,0.1165643936203189
Sargas,0270,1.13373e+31,18088200000.0,2.3126245862715558
Kaus Australis,0140,6.9615e+30,4730760000.0,20.75999275753696
Avior,0630,1.7900999999999998e+31,90441000000.0,0.1460605001855719
Alkaid,0104,1.2132899999999998e+31,2365380000.0,144.72680665254333
Menkalinan,081,4.75371e+30,1927089000.0,85.43097080483021
Atria,0390,1.3923e+31,64004400000.0,0.2268294104698744
Alhena,0109,5.5692e+30,2295810000.0,70.51915997124031
Peacock,0180,1.17351e+31,3339360000.0,70.23385645015132
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,78.26943965552645
Mirzam,0500,2.68515e+31,6957000000.0,37.02633679704249
Polaris,0430,1.07406e+31,27132300000.0,0.973736667903813
Alphard,0180,5.967e+30,34785000000.0,0.3291229937514887
Mintaka,01200,4.7736e+31,11479050000.0,24.17799770442525
Scheat,0196,4.1769e+30,66091500000.0,0.0638188630543053
Almaaz,0653,2.9835e+31,97398000000.0,0.2098998684639596
Rasalgethi,0360,5.5692e+30,194796000000.0,0.0097953271949847
Tau Ceti,011.9,1.557387e+30,621260100.0,269.29967110479345
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,182.61269753187165
Ran,010.48,1.6309799999999997e+30,514818000.0,410.7025427261698
V382 Carinae,"08,900",3.978e+31,337414500000.0,0.0233197288944265
Eta Carinae,"07,500",1.989e+32,612911700000.0,0.0353366326650751
Delta Cephei,0887,8.950499999999999e+30,30958650000.0,0.6232603088337749
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,0.0055737267989549
Titawin,044.25,2.52603e+30,1029636000.0,159.02202111653529
Rho Cassiopeiae,"08,154",4.3758e+31,682481700000.0,0.0062699148782116
P Cygni,"05,545",5.967e+31,52873200000.0,1.4245281931764575
VV Cephei,"04,900",3.61998e+31,730485000000.0,0.0045276179034596
61 Cygni,011.41,1.3923e+30,462640500.0,434.14192553949175
R Doradus,0178,1.989e+30,207318600000.0,0.0030884775624923
Polaris Australis,0281,3.16251e+30,2601918000.0,31.17675417660804
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,0.0322669601717145
54 Piscium,036.1,1.51164e+30,653958000.0,235.9037604224493
Mira,0300,2.3867999999999998e+30,257409000000.0,0.0024041124452263
RW Cephei,"014,000",2.76471e+31,805620600000.0,0.0028429856016179
Lacaille 8760,012.87,1.1933999999999999e+30,354807000.0,632.685493563031
V838 Monocerotis,"019,896",?,324891900000.0,632.685493563031
HD 140283,0190,?,973979999.9999999,632.685493563031
II Pegasi,0130,1.5912e+30,2365380000.0,18.98056480689093
VY Canis Majoris,"03,900",3.3812999999999997e+31,987894000000.0,0.0023123267927061
Pistol Star,"025,000",1.989e+32,222624000000.0,0.2678409779878652
S Doradus,"0169,000",4.7736e+31,264366000000.0,0.0455849021816466
UY Scuti,"05,100",1.989e+31,525253500000.0,0.0048115286427713
Barnard's Star,05.98,2.7846e+29,139140000.0,959.9420651085088
Luhman 16,06.52,7.956e+28,?,959.9420651085088
Proxima Centauri,04.25,2.3868e+29,104355000.0,1462.7688611177275
KIC 8462852,"01,470",2.84427e+30,1099206000.0,157.10819615734286
R136a1,"0163,000",5.7680999999999994e+32,22262400000.0,77.67388361648091
Melnick 42,"0163,000",3.75921e+32,14679270000.000002,116.4324060911917
WR 102,"018,134",3.7791e+31,271323000.0,34261.104981800825
VFTS 352,"0164,000",1.1432771999999998e+32,10066779000.0,75.29335961731135
YBP 1194,"02,772",2.00889e+30,688743000.0,282.6363157577489
Gliese 1214,047.5,3.1824e+29,146097000.0,995.0808579032164
NML Cygni,"05,251",9.945e+31,1140948000000.0,0.0050986979747838
VB 10,018.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
WOH G64,"0163,000",4.9725e+31,1203561000000.0,0.0022909983749839
TRAPPIST-1,039.6,1.7702099999999997e+29,83484000.0,1695.1357895765334
2MASS J0523-1403,040.3,1.3923e+29,59830199.99999999,2595.841171196618
WISE 0855âˆ’0714,07.27,5.967e+27,?,2595.841171196618
Icarus,"014,400,000,000",6.5637e+31,?,2595.841171196618
SDSS J000013.54+255418.6Â [de],46.1,9.5472e+31,688743000.0,13432.220946902917
2MASS J00040288-6410358,192,3.7791e+31,1133991000.0,1961.3512242583104
2MASS J00242463-0158201,37.7,1.5713099999999999e+32,758313000.0,18236.90241167102
2MASS J00274197+0503417,236,6.165899999999999e+31,1001808000.0,4100.281638332751
2MASSW J0030300-145033,87.2,1.07406e+32,681786000.0,15421.214825923567
2MASS J00332386-1521309Â [de],131,5.7681e+31,994851000.0,3889.5817312962217
2MASS J00345157+0523050,31,8.3538e+31,653958000.0,13036.786760187986
2MASS 0036+1821,28.6,8.3538e+31,653958000.0,13036.786760187986
2MASSW J0045214+163445,57,4.574699999999999e+31,1127034000.0,2403.669682049306
WISEP J004701.06+680352.1Â [fr],40,2.3868e+31,904410000.0,1947.4733358076253
2MASS J00501994-3322402Â [de],34,7.956e+31,653958000.0,12415.987390655226
2MASS J00584253-0651239Â [de],96,5.7681e+31,994851000.0,3889.5817312962217
2MASSI J0103320+193536,70,1.0342799999999999e+32,681786000.0,14850.058721259731
SDSSp J010752.33+004156.1Â [de],51,1.0342799999999999e+32,681786000.0,14850.058721259731
2MASSI J0117474-340325Â [de],163,3.978e+31,1127034000.0,2090.147549608093
2MASS J01415823-4633574Â [de],130,3.978e+31,1120077000.0,2116.192750739354
SDSS J015141.69+124429.6,70,9.3483e+31,674829000.0,13700.340725475582
SDSS J020742.48+000056.2Â [de],111,9.3483e+31,674829000.0,13700.340725475582
2MASS J02103857-3015313,101,2.9835e+31,1064421000.0,1757.459704341753
2MASS J02340093-6442068,155,3.978e+31,1127034000.0,2090.147549608093
2MASS J02411151-0326587Â [de],152,5.3703e+31,980937000.0,3724.796217196568
2MASS J02431371âˆ’2453298,35,6.5637e+31,688743000.0,9234.651900995756
LP 771-21,53,1.5514199999999999e+32,751356000.0,18341.04474781101
Teegarden's star,12.578,1.5912e+32,883539000.0,13603.7776159501
2MASS J02535980+3206373,184,1.29285e+32,1321830000.0,4938.364403011719
WISE J0254+0223,24,1.29285e+32,1321830000.0,4938.364403011719
DEN 0255-4700,16.2,1.5912e+32,674829000.0,23319.728894426524
2MASS J03185403-3421292Â [de],45,9.7461e+31,674829000.0,14283.333947836243
2MASS J03205965+1854233,47,1.75032e+32,800054999.9999999,18250.04628237619
2MASS J03231002-4631237,192,4.574699999999999e+31,1154862000.0,2289.225835959573
SDSS J032553.17+042540.1,59,8.9505e+31,660915000.0,13675.470654493993
2MASS J03264225-2102057Â [de],80,3.5801999999999996e+31,904410000.0,2921.2100037114383
2MASS J03284265+2302051Â [de],98,1.07406e+32,681786000.0,15421.214825923567
2MASS J03341218-4953322,27.0,1.4519699999999999e+32,723528000.0,18511.13978046311
LP 944-20,20.9,1.4519699999999999e+32,994851000.0,9791.016082228422
2MASP J0345432+254023,88,1.4718599999999999e+32,730485000.0,18408.9958712095
Teide 1,380,1.09395e+32,2629746000.0,1055.7377929142915
2MASS J03510004-0052452,48,2.0287799999999997e+32,883539000.0,17344.816460336377
2MASS J03552337+1133437,29.8,3.978e+31,918324000.0,3148.1767844303718
2MASS J04151954âˆ’0935066,18.6,5.967e+31,660915000.0,9116.980436329328
2MASS J04285096-2253227Â [de],85,1.5912e+32,758313000.0,18467.749277641546
2MASS J04351612-1606574,34,1.989e+32,876582000.0,17275.709338597502
2MASS J04362788-4114465,142,7.757099999999999e+31,1370529000.0,2756.1898778436403
2MASS J04390101-2353083Â [de],29.5,9.5472e+31,674829000.0,13991.837336655914
